
#GA 4.1.0RePy - GRAPH 'max_max_quality' OPENED, 28.02.22-01:38:29#
76, -1.764230245746226e-18
77, -1.764225526881265e-18
78, -5.515533413529874e-19
79, -2.382072823186721e-20
80, -2.3819357440105122e-20
81, -2.3595899844653347e-20
82, -2.31361997783298e-20
83, -2.3125393267452487e-20
84, -6.545485087536051e-23
85, -6.545485087536051e-23
86, -6.405402323430525e-23
87, -4.8129761457151816e-23
88, -4.1404792448763255e-24
89, -4.1404792448763255e-24
90, -4.1404792448763255e-24
91, -8.063112973054058e-25
92, -8.063112973054058e-25
93, -8.063112973054058e-25
94, -8.063112973054058e-25
95, -1.039474126200675e-25
96, -1.039474126200675e-25
97, -1.039474126200675e-25
98, -1.039474126200675e-25
99, -1.039474126200675e-25
100, -1.039474126200675e-25
#GA 4.1.0RePy - GRAPH 'max_max_quality' OPENED, 28.02.22-12:57:34#
0, -0.0027980913009244394
1, -0.0025457656929623582
2, -0.0025457656929619103
3, -0.002545753804516893
4, -0.0015141461271466032
5, -0.0013767188884040076
6, -2.198476851714069e-05
7, -8.12559931564197e-06
8, -8.12559931564197e-06
9, -8.12559931564197e-06
10, -8.12559931564197e-06
11, -8.12559931564197e-06
12, -8.12559931564197e-06
13, -2.6797735456269994e-06
14, -2.6797735456269994e-06
15, -2.6797735456269994e-06
16, -1.1211639774837268e-06
17, -1.0536991602252418e-06
18, -1.0430524298828516e-06
19, -1.0430524298828516e-06
20, -9.4793307973799e-07
21, -1.7630832524611112e-07
22, -1.3196247165874643e-07
23, -1.953434575274646e-08
24, -1.953434575274646e-08
25, -1.953434575274646e-08
26, -1.9534345673547344e-08
27, -3.3745881636845632e-09
28, -1.522335860307769e-09
29, -1.522335860307769e-09
30, -1.522335860307769e-09
31, -1.522335860307769e-09
32, -1.522335860307769e-09
33, -3.926897471898271e-14
34, -3.926897471898271e-14
35, -3.92680566822843e-14
36, -3.926445609668682e-14
37, -3.829453689942454e-14
38, -3.829453689942454e-14
39, -3.829453689942454e-14
40, -3.829453689942454e-14
41, -2.5995648766588677e-14
