
#GA 4.1.0RePy - GRAPH 'min_quality' OPENED, 09.03.22-21:43:27#
#GA 4.1.0RePy - GRAPH 'min_quality' OPENED, 09.03.22-21:43:27#
#GA 4.1.0RePy - GRAPH 'min_quality' OPENED, 09.03.22-21:43:27#
#GA 4.1.0RePy - GRAPH 'min_quality' OPENED, 09.03.22-21:43:27#
#GA 4.1.0RePy - GRAPH 'min_quality' OPENED, 09.03.22-21:43:27#
#GA 4.1.0RePy - GRAPH 'min_quality' OPENED, 09.03.22-21:43:27#
#GA 4.1.0RePy - GRAPH 'min_quality' OPENED, 09.03.22-21:43:27#
#GA 4.1.0RePy - GRAPH 'min_quality' OPENED, 09.03.22-21:43:27#
#GA 4.1.0RePy - GRAPH 'min_quality' OPENED, 09.03.22-21:43:27#
#GA 4.1.0RePy - GRAPH 'min_quality' OPENED, 09.03.22-21:43:27#
#GA 4.1.0RePy - GRAPH 'min_quality' OPENED, 09.03.22-21:43:27#
#GA 4.1.0RePy - GRAPH 'min_quality' OPENED, 09.03.22-21:43:27#
71, -99.6876295809098
71, -100.00057220615872
72, -100.10229379390742
71, -101.559689752712
72, -100.00019076298946
71, -100.00028610604659
71, -100.04826202924758
72, -100.00057220597682
71, -100.02423380605883
71, -100.0002861027724
71, -100.05559348093168
72, -100.00067353424811
72, -100.04471032833798
72, -124.81854274515787
73, -100.00553143884213
72, -100.00934624761202
73, -99.80459213286413
72, -200.00238420345798
72, -103.14883594429325
73, -106.25039339169575
72, -99.99992828850246
72, -101.96304788835991
72, -100.00333789114399
73, -100.00638972608178
73, -156.25066185135142
73, -106.25010729012843
74, -100.20027666790648
73, -100.00820182533559
73, -100.7822021884941
74, -100.00172265330335
73, -100.39005950124071
74, -100.01812065068113
73, -99.9998092650685
73, -99.99952325608793
73, -100.02460633434403
74, -100.00641356798516
74, -100.00053072093397
74, -100.0307134011888
75, -100.00286107090241
75, -100.3900714223743
74, -100.00324252316665
74, -99.99980956574802
74, -100.00066831864984
75, -100.0247017139629
74, -125.00009536770449
74, -106.34785909236966
74, -100.3912039115118
75, -100.0002861027724
75, -99.68762960000923
75, -101.56349242079585
76, -113.7266166220004
76, -100.00019073534077
75, -99.99952319933534
75, -156.2519431150065
75, -100.02118711959848
76, -100.0020984603232
75, -100.00019073534077
75, -100.0002861027724
75, -100.39129350455056
76, -100.0002861027724
76, -101.0491922083379
76, -100.00019073534077
77, -107.91248401492227
77, -100.04902491485852
76, -100.00553653948005
76, -100.39435125339799
76, -100.00057220615872
77, -125.0003814712727
76, -100.0247002118386
76, -100.00171672484178
76, -103.15009509390627
77, -100.02460635908234
77, -100.00053072093397
77, -100.00019073534077
78, -101.56474415510253
78, -100.00019073534077
77, -100.78258523710647
77, -225.00500685064264
77, -100.00638665016483
78, -106.25115633442306
77, -100.02470171687328
77, -101.56889335533494
77, -100.39119795176354
78, -100.0247002118386
78, -100.02983242019408
78, -100.00057276458953
79, -100.0269473432469
79, -100.00019073534077
78, -100.00057220706822
78, -100.0926020214369
79, -100.01277965632276
78, -200.0065804612179
78, -100.39086416547995
78, -100.44117691317261
79, -100.09789784201672
78, -100.00019073534077
79, -106.34820205838268
79, -99.99990463250015
80, -100.00019073534077
80, -100.78536162813809
79, -99.99952316331928
80, -100.0006676669047
79, -100.00561775278246
79, -100.09787399538395
79, -100.00028759289137
80, -100.0002861027724
79, -225.00042915426093
79, -100.00362399871398
80, -100.00143051431678
80, -100.81261016465871
81, -99.99990463395534
81, -100.19683996881953
81, -100.0002861031362
80, -99.99990463286395
80, -124.99709137628103
80, -100.0002861027724
80, -100.80747795630323
81, -126.56284868774463
80, -100.00019073534077
80, -100.00028610859319
81, -100.00019676566593
81, -100.00324070762986
82, -100.00019076298946
82, -100.00145343762877
82, -112.9153557592656
81, -100.00095367770427
81, -100.00057220706822
82, -100.02765849379016
81, -100.0002861027724
81, -100.19569443604794
81, -101.56245529690722
81, -100.00095367806807
82, -100.00019073534077
82, -112.55872880708527
83, -100.00019073534077
83, -100.00247957279956
82, -100.0002861027724
83, -106.34798128212451
82, -99.99990463286395
83, -100.02460633434403
82, -100.39012506647502
82, -106.24686481746157
82, -101.56889335533494
82, -101.55969117261785
83, -100.00171662297818
83, -100.00205660929898
84, -100.02431874156635
84, -100.04826178804913
83, -100.01850290020992
84, -100.00019073515887
84, -100.0002861027724
83, -100.02193573411893
83, -103.14999823708327
83, -100.0028610479831
83, -100.00019073534077
83, -200.0008583087265
84, -100.00019073534077
84, -100.000540360141
85, -225.0
85, -101.56889335533494
85, -100.0246540428891
84, -100.00019073515887
85, -151.56289637152867
84, -106.2252179144225
84, -100.39091184783153
84, -225.00100136121546
84, -100.39012517033952
84, -100.00638972608178
85, -100.00019073534077
85, -101.6021344227218
86, -106.25027418199693
86, -125.0121607690771
86, -100.0002861027724
85, -100.19569443604794
86, -100.0247017135991
85, -99.99990463577433
85, -100.00057276458953
85, -100.00095386269585
85, -99.99876022641276
85, -100.0002861027724
86, -100.00019073534077
86, -101.250144482098
87, -100.00171773474662
87, -106.34667892142629
87, -100.00638963003895
86, -103.14970766243057
86, -124.9997615814209
87, -106.37313599777691
86, -101.55630418733371
86, -100.0369106366017
86, -106.34707231210454
86, -100.0002861027724
87, -100.00019073534077
87, -101.250144482098
88, -225.0
88, -100.0247017135991
88, -100.0002861027724
87, -100.01249502577497
88, -106.34943266381384
87, -99.99990463577433
87, -99.99990463250015
87, -106.29922160946435
87, -126.57744035935194
87, -100.00057220706822
88, -100.00019073534077
88, -100.00053072093397
89, -100.00610389990997
89, -100.01249353893019
89, -225.0370518077973
88, -101.56270563634706
89, -125.00019073513613
88, -100.00638972608178
88, -100.00019073534077
88, -100.02431874156635
88, -100.00638972608178
88, -100.00133515088693
89, -100.00143051431678
89, -100.00053072093397
90, -99.99990463250015
90, -100.09794253903719
90, -100.0002861027724
89, -100.00104904549971
90, -100.78296810709375
89, -101.36719038721793
89, -100.09796652063922
89, -121.89959888372933
